opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Kokarev,Dm",Mumbai IND,0.0,King's Indian Attack: Symmetrical Defense,1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. c4 d6 6. Nc3 e5 7. d3 Nc6 8. Rb1 Bf5 9. Bg5 h6 10. Bxf6 Bxf6 11. b4 Qd7 12. Nd5 Bg7 13. Nd2 Nd8 14. Ne4 Bxe4 15. Bxe4 Ne6 16. Bg2 c6 17. Nc3 f5 18. b5 Kh7 19. bxc6 bxc6 20. Qa4 e4 21. dxe4 Bxc3 22. exf5 Nc5 23. fxg6+ Kg7 24. Qa3 Bf6 25. Rbd1 Qc7 26. Qf3 Rae8 27. e3 Ne4 28. Qg4 Nc3 29. Rd2 d5 30. cxd5 cxd5 31. h4 Qc8 32. Qb4 Qa6 33. Rc2 Qd3 34. Rfc1 d4 35. Kh2 Qxg6 36. exd4 Ne2 37. Rc7+ Rf7 38. R1c4 Ree7 39. R7c6 Qf5 40. d5 h5 41. Qc5 Be5 42. d6 Re6 43. Rc7 Rxd6 44. f4 Nxf4 45. Rxf7+ Kxf7 46. Rxf4 Qxf4 47. gxf4 Bxf4+ 48. Kg1,Nf3,Nf6,g3,g6,Bg2,Bg7,O-O,O-O,c4,d6,Nc3,e5,d3,Nc6,Rb1,Bf5,Bg5,h6,Bxf6,Bxf6
"Semcesen,D",Mumbai IND,0.0,"Queen's Gambit Declined: Exchange Variation, Positional Variation",1. d4 e6 2. c4 Nf6 3. Nc3 d5 4. cxd5 exd5 5. Bg5 Be7 6. e3 O-O 7. Bd3 h6 8. Bh4 c6 9. f3 Re8 10. Bf2 Nbd7 11. Nge2 c5 12. O-O cxd4 13. Nxd4 Ne5 14. Bc2 Bc5 15. Re1 Nc6 16. Nce2 Qb6 17. Rb1 Nxd4 18. Nxd4 Bd7 19. Qd3 Bxd4 20. Qxd4 Qxd4 21. exd4 Rac8 22. Bd3 a6 23. Re5 Bb5 24. Bf5 Rcd8 25. Rbe1 Bd7 26. Bd3 Be6 27. Bh4 g5 28. Bf2 Nd7 29. R5e2 Nf8 30. h4 f6 31. Rc1 Kf7 32. Rc5 Bc8 33. Rc7+ Rd7 34. Rec2 Rxc7 35. Rxc7+ Nd7 36. h5 Ke7 37. Bg6 Rf8 38. g4 Kd8 39. Bg3 Rh8 40. Kf2 Nf8 41. Rf7 Nxg6 42. hxg6 Rg8 43. Rxf6 Ke7 44. Be5 Be6 45. g7,d4,e6,c4,Nf6,Nc3,d5,cxd5,exd5,Bg5,Be7,e3,O-O,Bd3,h6,Bh4,c6,f3,Re8,Bf2,Nbd7
"David,Alb",Chennai IND,0.5,French Defense: King's Indian Attack,1. e4 e6 2. d3 b5 3. g3 Bb7 4. Bg2 c5 5. Nh3 Nf6 6. O-O d6 7. Qe2 Nc6 8. c3 Be7 9. f4 O-O 10. Nd2 a5 11. g4 a4 12. g5 Nd7 13. Nf3 Re8 14. Be3 a3 15. b3 d5 16. Qf2 c4 17. exd5 exd5 18. dxc4 dxc4 19. bxc4 bxc4 20. f5 Qa5 21. g6 fxg6 22. fxg6 Qxc3 23. gxh7+ Kh8 24. Nf4 Bf6 25. Nd5 Qb2 26. Nxf6 Qxf2+ 27. Bxf2 Nxf6 28. Rab1 Na5 29. Rfe1 Be4 30. Rbc1 Nd5 31. Bg3 Nb4 32. Rc3 Bxf3 33. Rxe8+ Rxe8 34. Bxf3 Nb3 35. Rxc4 Nxa2 36. Ra4 Kxh7 37. Rxa3 Nac1 38. Kf2 Nd3+ 39. Kg2 Nbc5 40. Rc3 Re3 41. Rc4 Ne5 42. Rh4+ Kg6 43. Bd1 Ned3 44. Rd4 Kf6 45. Rd6+ Re6 46. Rd5 Re3 47. Bg4 Ne4 48. Bc7 g5 49. Rf5+ Kg6 50. Rf1 Nf4+ 51. Kg1 Nh3+,e4,e6,d3,b5,g3,Bb7,Bg2,c5,Nh3,Nf6,O-O,d6,Qe2,Nc6,c3,Be7,f4,O-O,Nd2,a5
"Kotronias,V",Moscow RUS,0.0,"French Defense: Tarrasch Variation, Closed Variation, Main Line",1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Bd3 Nc6 7. Ne2 cxd4 8. cxd4 f6 9. exf6 Nxf6 10. Nf3 Bd6 11. O-O Qc7 12. Bg5 O-O 13. Rc1 b6 14. Bh4 Nh5 15. Bg3 Nxg3 16. hxg3 g5 17. Bb5 Bd7 18. Qd3 Kg7 19. Qe3 Qd8 20. Rfe1 Ne7 21. Bxd7 Qxd7 22. Ne5 Qe8 23. g4 Ng6 24. Ng3 Nf4 25. Rc3 Rc8 26. Nh5+ Nxh5 27. Rxc8 Qxc8 28. gxh5 Rf4 29. Qd3 Rf5 30. Ng4 Bb4 31. Rd1 Qe8 32. Qb3 Qe7 33. g3 Bd6 34. Re1 Rf8 35. Qe3 Re8 36. Qf3 Rf8 37. Qe2 Re8 38. Ne3 Bb4 39. Rf1 Bd6 40. Rc1 Qf7 41. Kg2 a6 42. a3 Bb8 43. Rc3 e5 44. Rb3 b5 45. a4 exd4 46. Nf5+ Kf8 47. Qc2 Qe6 48. axb5 axb5 49. Rxb5 Ba7 50. Rb7 Rc8 51. Qd3 Bb8 52. Qa3+,e4,e6,d4,d5,Nd2,Nf6,e5,Nfd7,c3,c5,Bd3,Nc6,Ne2,cxd4,cxd4,f6,exf6,Nxf6,Nf3,Bd6
"Korchmar,V",Moscow RUS,0.0,Catalan Opening: Open Defense,1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. g3 c6 5. Bg2 dxc4 6. Ne5 Bb4+ 7. Bd2 Bxd2+ 8. Qxd2 O-O 9. Na3 Qc7 10. Naxc4 Rd8 11. O-O Nbd7 12. Rfd1 Nxe5 13. Nxe5 Bd7 14. Rac1 Be8 15. b4 Qe7 16. a4 Nd5 17. Nd3 f6 18. e4 Nc7 19. Qc3 Rac8 20. Nc5 b6 21. Nd3 c5 22. bxc5 Bxa4 23. cxb6 axb6 24. Rd2 Qd7 25. Bh3 Nb5 26. Qb4 Rxc1+ 27. Nxc1 Nxd4 28. Kg2 Bc6 29. Nb3 Bxe4+ 30. Kf1 Qb7 31. Rxd4 Bd5 32. Bxe6+ Bxe6 33. Rxd8+ Kf7 34. Nd2 Qh1+ 35. Ke2 Qxh2 36. Qh4,Nf3,d5,d4,Nf6,c4,e6,g3,c6,Bg2,dxc4,Ne5,Bb4+,Bd2,Bxd2+,Qxd2,O-O,Na3,Qc7,Naxc4,Rd8
"Sivuk,V",Moscow RUS,0.0,Bogo-Indian Defense: Grünfeld Variation,1. d4 e6 2. c4 Nf6 3. Nf3 Bb4+ 4. Nbd2 b6 5. g3 Bb7 6. Bg2 O-O 7. O-O Bxd2 8. Qxd2 d6 9. b3 Nbd7 10. Bb2 Ne4 11. Qc2 d5 12. cxd5 exd5 13. Rac1 Rc8 14. Rfd1 Qf6 15. e3 Rfe8 16. Qe2 c6 17. Rc2 Qd6 18. Nh4 g6 19. Nf3 f6 20. Ne1 a5 21. Nd3 Nb8 22. Qg4 Rc7 23. Qf4 Qd8 24. Qh6 Rg7 25. Re2 Bc8 26. f3 g5 27. g4 Rg6 28. Qh3 h5 29. Nf2 Nxf2 30. Rxf2 hxg4 31. fxg4 Na6 32. Qg3 Nc7 33. Rc1 Re6 34. Rfc2 Bd7 35. h3 Nb5 36. e4 dxe4 37. Re1 Rg7 38. Rxe4 Rxe4 39. Bxe4 Qe8 40. Bg2 Qe6 41. a4 Nd6 42. Bxc6 Ne4 43. Qb8+ Kh7 44. d5 Qe7 45. Qxb6 Bxc6 46. Rxc6 Nc5 47. Qxc5 Qe1+ 48. Kg2 Qd2+ 49. Kh1 Qxb2 50. Qc2+ Qxc2 51. Rxc2,d4,e6,c4,Nf6,Nf3,Bb4+,Nbd2,b6,g3,Bb7,Bg2,O-O,O-O,Bxd2,Qxd2,d6,b3,Nbd7,Bb2,Ne4
"Sarana,A",Moscow RUS,0.0,King's Indian Attack,1. Nf3 d5 2. g3 Nf6 3. Bg2 Nbd7 4. O-O e5 5. d3 Bd6 6. Nbd2 O-O 7. e4 c6 8. b3 Re8 9. Bb2 b6 10. Re1 Bb7 11. Nh4 Qc7 12. c4 Nc5 13. Qc2 dxe4 14. dxe4 Rad8 15. Ndf3 Bf8 16. Re3 Ng4 17. Re2 Nd3 18. Bc3 Bc5 19. Rf1 Ndxf2 20. Rfxf2 Nxf2 21. Rxf2 Qd6 22. Bf1 Qd1 23. Qb2 f6 24. Kg2 Bxf2 25. Kxf2 Qd6 26. Nf5 Qc5+ 27. Ne3 Bc8 28. Ke2 Qe7 29. Kf2 Qf7 30. Nh4 g6 31. Be2 Qf8 32. Qc2 Be6 33. Bg4 Bxg4 34. Nxg4 h5 35. Ne3 Kh7 36. Nf3 Rd7 37. Ke2 Red8 38. Bd2 Qd6 39. h3 Kg7 40. Bc3 Qe6 41. g4 hxg4 42. hxg4 Rd4 43. Qb1 c5 44. g5 fxg5 45. Nxg5 Qf6 46. Qg1 Rd3 47. Be1 Rxe3+ 48. Qxe3 Qd6 49. Bd2 Qd7 50. Nf3 Qg4 51. Kf2 Rf8 52. Bc3 Qh5 53. Kg3 Kg8 54. Nxe5 g5 55. Kg2 Qh4 56. Be1 Qf4 57. Qxf4 Rxf4 58. Nd7 Kf7 59. e5 Rd4 60. Nf6 Rd1 61. Bc3 Rc1 62. Nd5 Rc2+ 63. Kf3 Rxa2 64. Kg4 Ke6 65. Kxg5 Rg2+ 66. Kf4 b5 67. Nc7+ Kd7 68. Nxb5 a6 69. Nd6 Rg8 70. Ne4 Kc6 71. e6 Rb8 72. Nf6 Rb7 73. Kf5,Nf3,d5,g3,Nf6,Bg2,Nbd7,O-O,e5,d3,Bd6,Nbd2,O-O,e4,c6,b3,Re8,Bb2,b6,Re1,Bb7
"Di Berardino,D",Dubai UAE,0.0,"French Defense: Classical Variation, Burn Variation",1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nxf6+ Nxf6 7. Nf3 h6 8. Bxf6 Qxf6 9. Bd3 Bd6 10. Qe2 Bd7 11. O-O O-O-O 12. Be4 Kb8 13. c4 c6 14. c5 Bc7 15. Bc2 h5 16. Rad1 g5 17. Ne5 Qg7 18. b4 f6 19. Nxd7+ Qxd7 20. Rfe1 Rhe8 21. Bb3 Qg7 22. b5 Ba5 23. Rf1 cxb5 24. Qxb5 Qc7 25. Rd3 f5 26. Rfd1 f4 27. Bc4 a6 28. Qa4 Ka7 29. Ra3 e5 30. Qxa5 Qxa5 31. Rxa5 Rxd4 32. Rxd4 exd4 33. Kf1 Re5 34. Bd3 g4 35. Ra4 Rxc5 36. Rxd4 Rc1+ 37. Ke2 b5 38. a4 Rg1 39. g3 f3+ 40. Ke3 Re1+ 41. Kd2 Re5 42. axb5 axb5 43. Rf4 Kb6 44. Rf5,e4,e6,d4,d5,Nc3,Nf6,Bg5,dxe4,Nxe4,Nbd7,Nxf6+,Nxf6,Nf3,h6,Bxf6,Qxf6,Bd3,Bd6,Qe2,Bd7
"Sanal,V",Dubai UAE,0.0,King's Indian Attack: Sicilian Variation,1. Nf3 d5 2. g3 c5 3. Bg2 e6 4. c4 d4 5. e3 Nc6 6. exd4 cxd4 7. O-O Be7 8. d3 Nf6 9. Re1 O-O 10. Na3 Re8 11. Nc2 a5 12. Na3 Bb4 13. Bd2 Bxa3 14. bxa3 Qd6 15. Rb1 Qxa3 16. Bf4 Nd7 17. Ng5 h6 18. Ne4 e5 19. Bc1 Qe7 20. Qa4 Ra6 21. Rb5 Nb4 22. Ba3 b6 23. Bxb4 axb4 24. Qxb4 Qxb4 25. Rxb4 Rxa2 26. Nd6 Rd8 27. Reb1 Nc5 28. Rxb6 Be6 29. h4 g6 30. Nb7 Nxb7 31. Rxb7 Ra3 32. Be4 Kg7 33. R1b6 Bf5 34. Bd5 Rf8 35. Re7 Rxd3 36. Rbb7 Rd1+ 37. Kh2 d3 38. Bxf7 Kf6 39. Bd5 e4 40. g4 d2 41. gxf5 Rh1+ 42. Kxh1 d1=Q+ 43. Kh2 Qg4 44. Rxe4 Qxf5 45. Re6+ Qxe6 46. Bxe6 Kxe6 47. Kg3 Rc8 48. Rb6+ Kf7 49. Rb4 Rc6 50. Kf4 Rc5 51. Ke4 Rh5 52. Rb7+ Ke6 53. Rb6+ Kf7 54. f4 Rxh4 55. Ke5 Rh1 56. Rb7+ Ke8 57. c5 Re1+ 58. Kd6 Rd1+ 59. Kc7 g5 60. fxg5 hxg5 61. c6 Kf7 62. Rb5 Kg6 63. Kb6 Rd8 64. c7 Rg8 65. Rd5 Rf8 66. Rd8 Rf6+ 67. Kb5,Nf3,d5,g3,c5,Bg2,e6,c4,d4,e3,Nc6,exd4,cxd4,O-O,Be7,d3,Nf6,Re1,O-O,Na3,Re8
"Rajarishi,Karthi",Mumbai IND,0.0,Nimzo-Indian Defense: Kmoch Variation,1. d4 e6 2. c4 Nf6 3. Nc3 Bb4 4. f3 c5 5. d5 O-O 6. e4 Re8 7. Nh3 d6 8. Nf2 b5 9. Bd2 Bxc3 10. Bxc3 b4 11. Bxf6 Qxf6 12. Qc2 exd5 13. cxd5 Na6 14. Be2 Nc7 15. O-O Bd7 16. a4 Re7 17. b3 Rae8 18. Rad1 Kh8 19. Bc4 Qh6 20. Qd2 Qxd2 21. Rxd2 a5 22. Nd3 f6 23. Nxc5 Bc8 24. Nd3 g5 25. Nb2 Rd8 26. Rc1 f5 27. Bd3 fxe4 28. fxe4 Ne8 29. Nc4 Ra7 30. e5 dxe5 31. Nxe5 Kg7 32. Bb5 Nd6 33. Nc6 Rc7 34. Re1 Rdd7 35. Nxa5 Nxb5 36. axb5 Rc5 37. Nc4 Rxb5 38. d6 Kf6 39. Re8 Ba6 40. Rf2+ Kg6 41. g4 Rd5 42. Rg8+ Rg7 43. Re8 Rd7 44. Ne5+ Rxe5 45. Rxe5 Rxd6 46. h3 h5 47. Rff5 hxg4 48. Rxg5+ Kf6 49. Ref5+ Ke6 50. Rg6+ Kxf5 51. Rxd6 Bc8 52. hxg4+ Kxg4 53. Rd4+ Kf5 54. Kf2 Ke5 55. Ke3 Be6 56. Rxb4,d4,e6,c4,Nf6,Nc3,Bb4,f3,c5,d5,O-O,e4,Re8,Nh3,d6,Nf2,b5,Bd2,Bxc3,Bxc3,b4
