opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Korchmar,V",Moscow RUS,0.0,Catalan Opening: Open Defense,1. Nf3 d5 2. d4 Nf6 3. c4 e6 4. g3 c6 5. Bg2 dxc4 6. Ne5 Bb4+ 7. Bd2 Bxd2+ 8. Qxd2 O-O 9. Na3 Qc7 10. Naxc4 Rd8 11. O-O Nbd7 12. Rfd1 Nxe5 13. Nxe5 Bd7 14. Rac1 Be8 15. b4 Qe7 16. a4 Nd5 17. Nd3 f6 18. e4 Nc7 19. Qc3 Rac8 20. Nc5 b6 21. Nd3 c5 22. bxc5 Bxa4 23. cxb6 axb6 24. Rd2 Qd7 25. Bh3 Nb5 26. Qb4 Rxc1+ 27. Nxc1 Nxd4 28. Kg2 Bc6 29. Nb3 Bxe4+ 30. Kf1 Qb7 31. Rxd4 Bd5 32. Bxe6+ Bxe6 33. Rxd8+ Kf7 34. Nd2 Qh1+ 35. Ke2 Qxh2 36. Qh4,Nf3,d5,d4,Nf6,c4,e6,g3,c6,Bg2,dxc4,Ne5,Bb4+,Bd2,Bxd2+,Qxd2,O-O,Na3,Qc7,Naxc4,Rd8
"Karthik,Sai Ch",New Delhi IND,1.0,Queen's Pawn Game: London System,1. d4 Nf6 2. Nf3 d5 3. Bf4 c5 4. e3 Nc6 5. Nbd2 cxd4 6. exd4 Bg4 7. c3 e6 8. Bd3 Bd6 9. Bxd6 Qxd6 10. O-O O-O-O 11. Qa4 Nd7 12. Rfe1 f6 13. b4 Kb8 14. b5 Nb6 15. Qb3 Na5 16. Qb4 Qxb4 17. cxb4 Nac4 18. h3 Bxf3 19. Nxf3 Rde8 20. a4 Nd6 21. Re2 Kc7 22. Bc2 Nbc4 23. Rae1 Kd7 24. Bb3 Re7 25. Bxc4 Nxc4 26. Rc1 Rc8 27. Rec2 Kd6 28. Nd2 Rec7 29. Nb3 b6 30. f4 Nb2 31. Nc5 Nd3 32. Rb1 Nxf4 33. a5 e5 34. dxe5+ fxe5 35. Nb7+ Kd7 36. Rxc7+ Rxc7 37. a6 Rc2 38. Nc5+ Kc7,d4,Nf6,Nf3,d5,Bf4,c5,e3,Nc6,Nbd2,cxd4,exd4,Bg4,c3,e6,Bd3,Bd6,Bxd6,Qxd6,O-O,O-O-O
"Bachmann,Ax",chess.com INT,1.0,Catalan Opening: Open Defense,1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. g3 dxc4 5. Bg2 Bd7 6. Ne5 Bc6 7. Nxc6 Nxc6 8. e3 Qd7 9. O-O h5 10. Nd2 h4 11. Nxc4 Nd5 12. e4 Nb6 13. Nxb6 axb6 14. Be3 Be7 15. a3 hxg3 16. hxg3 O-O-O 17. Qa4 Kb8 18. Rfd1 Bf6 19. Qc4 Nxd4 20. Rac1 e5 21. Bxd4 exd4 22. f4 g5 23. e5 Be7 24. Kf1 d3 25. Rc3 gxf4 26. Rdxd3 Qc8 27. gxf4 Rxd3 28. Rxd3 Qg4 29. Qe4 c6 30. b4 b5 31. f5 Qg5 32. f6 Bd8 33. Rd7 Bc7 34. Rxf7 Rd8 35. Bf3 Qc1+ 36. Kg2 Qb2+ 37. Kh3 Rh8+ 38. Rh7 Rxh7+ 39. Qxh7 Qxe5 40. Qg8+ Ka7 41. Qg1+ Bb6 42. Qg7 Bc7 43. Qg1+ Ka6 44. Qg7 Qh2+ 45. Kg4 Qg3+ 46. Kf5 Qxf3+ 47. Ke6 Qd5+ 48. Ke7 Bd6+ 49. Ke8 Qe6+ 50. Kd8 Kb6,d4,d5,c4,e6,Nf3,Nf6,g3,dxc4,Bg2,Bd7,Ne5,Bc6,Nxc6,Nxc6,e3,Qd7,O-O,h5,Nd2,h4
"Grachev,B",chess.com INT,1.0,Queen's Pawn Game: London System,1. d4 Nf6 2. Bf4 e6 3. e3 c5 4. c3 Nc6 5. Nd2 d5 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 10. Nd3 O-O 11. g3 b6 12. Be2 Ng7 13. O-O Bb7 14. Bf4 f6 15. Bf3 Ba6 16. Nb3 Bxf4 17. gxf4 Qd6 18. Nbc1 Nf5 19. Re1 h5 20. Be2 Rae8 21. Bf1 Kh7 22. Ne2 Nh4 23. Ng3 Bxd3 24. Bxd3 Qxf4 25. Re3 Kh6 26. Bb5 Nd8 27. Bxe8 Rxe8 28. Qd3 Nf7 29. Ne2 Qg4+ 30. Rg3 Qe4 31. Qe3+ Ng5 32. Qxe4 dxe4 33. Re3 Nf5 34. Ng3 Nxe3 35. fxe3 h4 36. Ne2 Nf3+ 37. Kg2 g5 38. h3 Rg8 39. c4 g4 40. b4 g3 41. c5 bxc5 42. dxc5 Rd8 43. Nd4 Nxd4 44. Rd1 e5 45. exd4 exd4 46. c6 d3 47. b5 Kg5 48. a4 Rc8 49. a5 a6 50. b6 Rxc6 51. b7 Rc2+ 52. Kg1 Rb2 53. Rb1 Rxb1+,d4,Nf6,Bf4,e6,e3,c5,c3,Nc6,Nd2,d5,Ngf3,cxd4,exd4,Nh5,Be3,Bd6,Ne5,g6,Nd3,O-O
"Girish,A",chess.com INT,1.0,Queen's Pawn Game: London System,1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Bg3 g6 9. Bd3 Bg7 10. Qe2 O-O 11. Ne5 f6 12. Nxg6 hxg6 13. Bxg6 Nxg3 14. hxg3 f5 15. Qh5 Rf6 16. Nf3 Bd7 17. O-O-O Be8 18. Qh7+ Kf8 19. Bxe8 Qxe8 20. Ng5 Qg6 21. f4 Ke7 22. Qxg6 Rxg6 23. Rh7 Rh8 24. Rdh1 Rxh7 25. Rxh7 Nd8 26. Kd2 Nf7 27. Nxf7 Kxf7 28. Rh3 b5 29. a3 Rh6 30. Ke3 a5 31. b4 axb4 32. axb4 Rh8 33. Rxh8 Bxh8 34. Kf3 Kg6 35. g4 Bf6 36. g5 Be7 37. g3 Kh5 38. Kf2 Kg4 39. Kg2 Bf8 40. Kf2 Kh3 41. Kf3 Bg7 42. Kf2 Kh2 43. Kf3 Kg1 44. g4 Kf1 45. gxf5 exf5 46. Kg3 Ke2 47. Kh4 Kf3 48. Kh5 Kxf4 49. Kg6 Bf8 50. Kf7 Kxg5 51. Kxf8 f4 52. c4 f3 53. cxd5 f2 54. d6 f1=Q+ 55. Ke8 Qe2+ 56. Kd8 Kf6 57. d7 Qc4 58. d5 Kf7 59. d6 Kf6,d4,d5,Bf4,Nf6,e3,e6,Nf3,c5,c3,Nc6,Nbd2,cxd4,exd4,Nh5,Bg3,g6,Bd3,Bg7,Qe2,O-O
"Sjugirov,S",chess.com INT,1.0,Catalan Opening: Open Defense,1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. g3 dxc4 5. Bg2 Bd7 6. Ne5 Bc6 7. Nxc6 Nxc6 8. e3 Qd7 9. Nd2 h5 10. Nxc4 h4 11. Bd2 Nd5 12. Qa4 f5 13. Rc1 O-O-O 14. a3 Kb8 15. b4 Bd6 16. Qb3 Nce7 17. b5 g5 18. a4 Nf6 19. Na5 Ned5 20. Nc6+ Ka8 21. Nxd8 Qxd8 22. a5 hxg3 23. hxg3 Rxh1+ 24. Bxh1 Qh8 25. Bxd5 exd5 26. Qd3 Qh1+ 27. Qf1 Qf3 28. a6 Ne4 29. axb7+ Kxb7 30. Rc2 Nxf2 31. Bc1 Bb4+ 32. Bd2 Qxe3+ 33. Qe2 Nd3+ 34. Kf1 Bxd2 35. Rxd2 Qxe2+ 36. Kxe2 Nb4 37. Ke3 Kb6 38. Rf2 f4+ 39. gxf4 gxf4+ 40. Rxf4 Kxb5 41. Rf7 Kb6 42. Rf6+ c6 43. Kd2 a5 44. Kc3 Na6 45. Rf8 Nc7 46. Rb8+ Ka7 47. Rc8 Nb5+ 48. Kd3 Kb7 49. Rh8 a4 50. Rh1 a3 51. Kc2 Nxd4+ 52. Kc3 Nb5+ 53. Kb4 Kb6 54. Rh6 d4 55. Rg6 a2 56. Rg1 Nc3 57. Kb3 Kb5 58. Rf1 c5 59. Kc2 Kc4 60. Ra1 Kb4 61. Kd2 Kb3 62. Kd3 Kb2 63. Rf1 a1=Q,d4,d5,c4,e6,Nf3,Nf6,g3,dxc4,Bg2,Bd7,Ne5,Bc6,Nxc6,Nxc6,e3,Qd7,Nd2,h5,Nxc4,h4
"Kamsky,G",chess.com INT,0.0,Queen's Pawn Game: London System,1. d4 d5 2. Nf3 Nf6 3. Bf4 e6 4. e3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Bg3 g6 9. Bd3 Bg7 10. O-O O-O 11. Re1 b6 12. Qe2 a5 13. a4 Bb7 14. Rad1 Qd7 15. Bb5 Qe7 16. Ne5 Na7 17. Bd3 f6 18. Nxg6 hxg6 19. Bxg6 Nxg3 20. hxg3 e5 21. Qh5 Rfd8 22. Nf3 e4 23. Nh4 Qc7 24. Bh7+ Kf8 25. Ng6+ Kf7 26. Nf4+ Ke7 27. Qg4 Bh8 28. f3 Bc8 29. Qh5 Kf8 30. fxe4 Qg7 31. Bg6 Rb8 32. exd5 Rb7 33. d6 Nc6 34. Be4 Bd7 35. Ng6+ Kg8 36. Bd5+,d4,d5,Nf3,Nf6,Bf4,e6,e3,c5,c3,Nc6,Nbd2,cxd4,exd4,Nh5,Bg3,g6,Bd3,Bg7,O-O,O-O
"Cheparinov,I",chess.com INT,0.0,Catalan Opening: Open Defense,1. Nf3 Nf6 2. c4 e6 3. d4 d5 4. g3 dxc4 5. Bg2 Bd7 6. O-O Bc6 7. Qc2 b5 8. Nc3 Nbd7 9. e4 b4 10. d5 Bxd5 11. exd5 bxc3 12. dxe6 fxe6 13. Ng5 Nc5 14. Bc6+ Nfd7 15. Re1 Rb8 16. Nxe6 Nxe6 17. Rxe6+ Be7 18. Bg5 O-O 19. Bxe7 cxb2 20. Rb1 Qe8 21. Rxb2 Rxb2 22. Qxb2 Rf7 23. Bxd7,Nf3,Nf6,c4,e6,d4,d5,g3,dxc4,Bg2,Bd7,O-O,Bc6,Qc2,b5,Nc3,Nbd7,e4,b4,d5,Bxd5
"Leiva,G",lichess.org INT,1.0,Catalan Opening: Open Defense,1. d4 d5 2. Nf3 Nf6 3. c4 e6 4. g3 dxc4 5. Bg2 Bd7 6. Ne5 Bc6 7. Nxc6 Nxc6 8. O-O Qd7 9. e3 Nd5 10. Nd2 O-O-O 11. Nxc4 h5 12. a3 h4 13. b4 Bd6 14. b5 Nce7 15. a4 f5 16. b6 cxb6 17. Nxd6+ Qxd6 18. Ba3 Qd7 19. a5 hxg3 20. hxg3 Nc6 21. axb6 a6 22. Qa4 g5 23. Rfc1 Kb8 24. Rc2 f4 25. e4 Nxb6 26. Qb3 Nxd4 27. Qxb6 Nxc2 28. Bc5 Nxa1 29. e5 Qd1+ 30. Bf1 Rh1+ 31. Kxh1 Qxf1+ 32. Kh2 Rh8#,d4,d5,Nf3,Nf6,c4,e6,g3,dxc4,Bg2,Bd7,Ne5,Bc6,Nxc6,Nxc6,O-O,Qd7,e3,Nd5,Nd2,O-O-O
"Moskalenko,A",chess.com INT,0.0,Catalan Opening: Open Defense,1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. g3 dxc4 5. Bg2 Bd7 6. Ne5 Bc6 7. Nxc6 Nxc6 8. e3 Nd5 9. O-O Qd7 10. Nd2 h5 11. Nxc4 f5 12. Qb3 O-O-O 13. Bd2 h4 14. Rfc1 Kb8 15. Qa4 hxg3 16. hxg3 g5 17. b4 Qh7 18. b5 Nce7 19. Na5 f4 20. Nxb7 fxe3 21. Nxd8 exd2 22. Qa6 dxc1=Q+ 23. Rxc1,d4,d5,c4,e6,Nf3,Nf6,g3,dxc4,Bg2,Bd7,Ne5,Bc6,Nxc6,Nxc6,e3,Nd5,O-O,Qd7,Nd2,h5
