opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
Chan Peng Kong,Penang MAS,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 d5 3. Bxf6 exf6 4. e3 Bd6 5. c4 dxc4 6. Bxc4 O-O 7. Nc3 c6 8. Qc2 Re8 9. Nge2 f5 10. O-O-O Nd7 11. h3 Nf6 12. g4 Ne4 13. Rdf1 Qe7 14. Nd1 Be6 15. Bxe6 Qxe6 16. f3 Nf6 17. Kb1 fxg4 18. hxg4 g6 19. e4 Nxe4 20. fxe4 Qxe4 21. Nec3 Qxg4 22. Nf2 Qg2 23. Rhg1 Qh2 24. Qb3 Re7 25. Nfe4 Bf4 26. Nf6+ Kg7 27. Nce4 Rd8 28. Rh1 Qg2 29. Rfg1,d4,Nf6,Bg5,d5,Bxf6,exf6,e3,Bd6,c4,dxc4,Bxc4,O-O,Nc3,c6,Qc2,Re8,Nge2,f5,O-O-O,Nd7
"Ganerdene,Sugar",Ahmedabad IND,0.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 Ne4 3. Bf4 c5 4. f3 Nf6 5. dxc5 Na6 6. e4 Nxc5 7. Nc3 Qb6 8. Qd2 d6 9. O-O-O Bd7 10. g4 Bc6 11. Nge2 g6 12. Nd4 Bg7 13. Bc4 h5 14. gxh5 Rxh5 15. Rhg1 Qb4 16. Qe2 Nfd7 17. a3 Qa5 18. Qg2 Nf8 19. Be3 Rc8 20. Kb1 Bd7 21. Ba2 Na4 22. Nxa4 Bxa4 23. Rd2 Bd7 24. f4 Rh3 25. Qf2 Bxd4 26. Bxd4 Bc6 27. Re1 Qh5 28. f5 Rf3 29. Qe2 Rf4 30. Qxh5 gxh5 31. Rde2 b6 32. Bd5 Bxd5 33. exd5 Rc7 34. Bf6 e5 35. Rxe5+ dxe5 36. Bxe5 Re7 37. d6 Rf1 38. Rxf1 Rxe5 39. Rf4 Kd7,d4,Nf6,Bg5,Ne4,Bf4,c5,f3,Nf6,dxc5,Na6,e4,Nxc5,Nc3,Qb6,Qd2,d6,O-O-O,Bd7,g4,Bc6
"Prraneeth,Vuppala",Mumbai IND,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 Ne4 3. Bf4 d5 4. e3 e6 5. Nd2 Bd6 6. Bd3 Nxd2 7. Qxd2 c5 8. dxc5 Bxc5 9. Qc3 Bf8 10. Nf3 Nc6 11. O-O-O Qb6 12. e4 d4 13. Qc4 Bd7 14. Qb5 Bc5 15. Qxb6 Bxb6 16. Bd6 O-O-O 17. Ng5 Be8 18. e5 Bc7 19. Bxc7 Kxc7 20. f4 h6 21. Ne4 Ne7 22. Nd6 Nc8 23. Nxe8+ Rhxe8 24. Be4 f5 25. Bf3 g5 26. Rd3 Re7 27. g3 Red7 28. Rhd1 Ne7 29. Bh5 Nc6 30. a3 a5 31. Kd2 Rg7 32. Bf3 Rgd7 33. Ke1 Ne7 34. Bh5 Nc6 35. Kf2 Rg7 36. Bf3 Rgd7 37. Rc1 g4 38. Be2 h5 39. h3 Rh7 40. Rh1 Rdh8 41. Kg2 Rg7 42. hxg4 fxg4 43. Rdd1 Kb8 44. Bd3 Rc7 45. Be4 Rcc8 46. Rh2 d3 47. c3 Rcd8 48. Kf2 d2 49. Ke3 h4 50. gxh4 g3 51. Rhxd2 Rdg8 52. Rh1 Rh5 53. Kf3 Rf8 54. Kxg3 Rhh8 55. Bxc6 bxc6 56. Rd6 Rf7 57. Rxe6 Rg8+ 58. Kf3 Rfg7 59. h5 a4 60. h6 Rg3+ 61. Ke4,d4,Nf6,Bg5,Ne4,Bf4,d5,e3,e6,Nd2,Bd6,Bd3,Nxd2,Qxd2,c5,dxc5,Bxc5,Qc3,Bf8,Nf3,Nc6
"Sahil,Tic",Chennai IND,0.5,Trompowsky Attack,1. d4 Nf6 2. Bg5 d5 3. Bxf6 exf6 4. e3 Bd6 5. c4 dxc4 6. Bxc4 O-O 7. Nc3 f5 8. Nf3 Nd7 9. Qc2 Nf6 10. h3 Qe7 11. g4 g6 12. gxf5 Bxf5 13. Bd3 Bxd3 14. Qxd3 Rfe8 15. O-O-O Ne4 16. Qxe4 Qxe4 17. Nxe4 Rxe4 18. Kd2 Re7 19. Rc1 c6 20. Kd3 f5 21. h4 h6 22. Nd2 Rd8 23. Nc4 Bc7 24. b4 f4 25. a4 a6 26. Nd2 fxe3 27. fxe3 Rde8 28. Rh3 Bd6 29. b5 cxb5 30. axb5 axb5 31. Rb1 g5 32. hxg5 hxg5 33. Rxb5 g4 34. Rg5+ Rg7 35. Rxg7+ Kxg7 36. Rh4 g3 37. Rg4+ Kh8 38. Ne4 Rg8 39. Rh4+ Kg7 40. Rh1 Bb8 41. Ke2 g2 42. Rg1 Kf7 43. Kf3 b5 44. Rxg2 Rxg2 45. Kxg2 Ke6 46. Kf3 Kd5 47. Nd2 Ba7 48. Nb3 Bb6,d4,Nf6,Bg5,d5,Bxf6,exf6,e3,Bd6,c4,dxc4,Bxc4,O-O,Nc3,f5,Nf3,Nd7,Qc2,Nf6,h3,Qe7
"Chen,Qi b",Hanoi VIE,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 d5 3. Nd2 Nbd7 4. e3 e6 5. Bd3 Be7 6. c3 b6 7. f4 Bb7 8. Qc2 c5 9. Ngf3 c4 10. Be2 h6 11. Bxf6 Nxf6 12. b3 b5 13. Ne5 O-O 14. Rb1 Qc7 15. bxc4 bxc4 16. Bf3 Rfb8 17. Qa4 Bc8 18. Kf2 Bd7 19. Nxd7 Nxd7 20. g3 Bd8 21. e4 Nf6 22. e5 Nd7 23. h4 Nf8 24. Ke3 Qa5 25. Qxa5 Bxa5 26. Nxc4 Bxc3 27. Kd3 Bb4 28. Nd6,d4,Nf6,Bg5,d5,Nd2,Nbd7,e3,e6,Bd3,Be7,c3,b6,f4,Bb7,Qc2,c5,Ngf3,c4,Be2,h6
"Ali,Abdulaziz",Sharjah UAE,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 Ne4 3. Bf4 c5 4. f3 Nf6 5. dxc5 Qa5+ 6. Nc3 Qxc5 7. e4 d6 8. Qd2 a6 9. O-O-O Nbd7 10. g4 b5 11. g5 b4 12. Na4 Qa5 13. gxf6 Qxa4 14. fxe7 Bxe7 15. Bc4 Nb6 16. Bb3 Qc6 17. Ne2 a5 18. Bxd6 Bxd6 19. Qxd6 Qxd6 20. Rxd6 Rb8 21. Rhd1 Ke7 22. Nf4 Nd7 23. Rc6 Rd8 24. Nd5+ Ke8 25. Ba4 Kf8 26. Nb6 Rxb6 27. Rxb6,d4,Nf6,Bg5,Ne4,Bf4,c5,f3,Nf6,dxc5,Qa5+,Nc3,Qxc5,e4,d6,Qd2,a6,O-O-O,Nbd7,g4,b5
"Visakh,N R",New Delhi IND,0.5,English Opening: Agincourt Defense,1. c4 e6 2. Nf3 d5 3. d4 Nf6 4. g3 Bb4+ 5. Bd2 Bd6 6. Nc3 c6 7. Qc2 O-O 8. e4 Nxe4 9. Nxe4 dxe4 10. Qxe4 c5 11. Bg2 cxd4 12. Nxd4 e5 13. Nb5 Bc5 14. Rd1 Nc6 15. O-O Qb6 16. Be3 Bxe3 17. Qxe3 Bg4 18. Rd2 Rad8 19. Nd6 Qxe3 20. fxe3 Rd7 21. a3 Na5 22. Rd5 b6 23. b4 Rxd6 24. bxa5 Rxd5 25. Bxd5 bxa5 26. e4 Be6 27. c5 Rc8 28. c6 Rc7 29. Rb1 Bc8 30. Kf2 Kf8 31. Ke3 Ke7 32. Rb5 a4 33. Ra5 Kd6 34. Rxa4 Be6 35. Ra5,c4,e6,Nf3,d5,d4,Nf6,g3,Bb4+,Bd2,Bd6,Nc3,c6,Qc2,O-O,e4,Nxe4,Nxe4,dxe4,Qxe4,c5
"Bersamina,Paulo",Xingtai CHN,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 Ne4 3. Bf4 Nc6 4. f3 g5 5. Bc1 Nd6 6. Bxg5 Rg8 7. Nh3 h6 8. Bc1 Nf5 9. d5 Ne5 10. e4 Nh4 11. f4 Ng4 12. g3 e5 13. dxe6 fxe6 14. Qe2 b6 15. Nc3 a5 16. gxh4 Qxh4+ 17. Kd2 Bc5 18. Nb5 Kd8 19. c4 Ne3 20. Kd3 Nxf1 21. Qxf1 d5 22. Be3 Bxe3 23. Kxe3 e5 24. cxd5 Bxh3 25. Qf2 Qxf2+ 26. Kxf2 Rg2+ 27. Kf3 Kd7 28. fxe5 Rf8+ 29. Ke3 Rff2 30. Nd4 Rxb2 31. Rhf1 Rxh2 32. Rf7+ Kd8 33. e6 Rxa2 34. Rxa2 Rxa2 35. Nc6+,d4,Nf6,Bg5,Ne4,Bf4,Nc6,f3,g5,Bc1,Nd6,Bxg5,Rg8,Nh3,h6,Bc1,Nf5,d5,Ne5,e4,Nh4
"Lin,Yi",Xingtai CHN,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 d5 3. Nd2 e6 4. e3 c5 5. c3 Nc6 6. f4 Be7 7. Bd3 h6 8. Bh4 O-O 9. Ngf3 b6 10. Ne5 Nxe5 11. fxe5 Nd7 12. Bg3 a5 13. Qe2 Bb7 14. Nf3 Qc8 15. b3 a4 16. Rc1 axb3 17. axb3 Ra3 18. Bb1 Rd8 19. O-O Ba6 20. c4 Nf8 21. Qb2 cxd4 22. cxd5 Qa8 23. d6 Bxd6 24. exd6 Bxf1 25. Rxf1 dxe3 26. Ne5 f6 27. Nc4 Ra7 28. Nxb6 Qc6 29. Nc4 Rb7 30. Qe2 Qb5 31. Bc2 e5 32. Qxe3 Rbd7 33. Qe4 Qb7 34. Rd1 Qxe4 35. Bxe4 Ne6 36. Bd5 Kf7 37. b4 Rb8 38. b5 Rxb5 39. Bc6 Rc5 40. Bxd7 Rxc4 41. Bxe6+,d4,Nf6,Bg5,d5,Nd2,e6,e3,c5,c3,Nc6,f4,Be7,Bd3,h6,Bh4,O-O,Ngf3,b6,Ne5,Nxe5
"Jumabayev,R",Xingtai CHN,1.0,Trompowsky Attack,1. d4 Nf6 2. Bg5 d5 3. Nd2 Nbd7 4. e3 c5 5. Ngf3 Qb6 6. Rb1 g6 7. Bd3 Bg7 8. c3 O-O 9. O-O Re8 10. Re1 e5 11. dxe5 Nxe5 12. Nxe5 Rxe5 13. Bf4 Re8 14. c4 Be6 15. Qc2 Nh5 16. Bg5 Rac8 17. a3 Qc7 18. Bh4 a6 19. a4 Bf6 20. Bg3 Nxg3 21. hxg3 dxc4 22. Bxc4 Bf5 23. e4 Bg4 24. Nf3 Rcd8 25. Rbd1 Bd4 26. Bd5 Re7 27. Qb3 Kg7 28. Rc1 Bf6 29. Re2 h5 30. Rec2 b6 31. a5 bxa5 32. Rxc5 Qa7 33. Rc6 Rb8 34. Qd3 Bxb2 35. Rxa6 Qd7 36. Rb1 a4 37. Rxb2,d4,Nf6,Bg5,d5,Nd2,Nbd7,e3,c5,Ngf3,Qb6,Rb1,g6,Bd3,Bg7,c3,O-O,O-O,Re8,Re1,e5
