opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"McDonald, Neil R",Hastings,0.5,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. f4 a6 7. Be2 Nxd4 8. Qxd4 b5 9. Be3 Bb7 10. O-O Rc8 11. Rad1 Nf6 12. e5 Nd5 13. Nxd5 Bxd5 14. Bf3 Bc5 15. Qxc5 Qxc5 16. Bxc5,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,f4,a6,Be2,Nxd4,Qxd4,b5,Be3,Bb7,O-O,Rc8
"Rowley, Robert",Hastings,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. g3 Nf6 7. Bg2 d6 8. O-O Bd7 9. Re1 Be7 10. Ndb5 Qb8 11. a4 O-O 12. Bf4 Ne5 13. Bg5 a6 14. Bxf6 Bxf6 15. Nxd6 Rd8 16. f4 Bc6 17. Nd5 Rxd6 18. fxe5 Bxe5 19. Ne7+ Kf8 20. Nxc6 bxc6 21. Qh5 Qxb2 22. Qxh7 Qb6+ 23. Kh1 Bxa1 24. e5 Bxe5 25. Qh8+ Ke7 26. Qxa8 Bxg3 27. hxg3 Rd8 28. a5 Qf2 29. Qb7+ Kf6 30. Qb2+ Kg6 31. Be4+ f5 32. Bxf5+ exf5 33. Re6+ Kh7 34. Qc1 Rd2,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,g3,Nf6,Bg2,d6,O-O,Bd7,Re1,Be7,Ndb5,Qb8
Xie Jun,Thessaloniki,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. O-O Nf6 8. Kh1 Nxd4 9. Qxd4 Bc5 10. Qd3 h5 11. f4 Ng4 12. Qg3 b5 13. Bxg4 hxg4 14. Qxg4 Bb7 15. Qe2 b4 16. Nd1 Ke7 17. Be3 Bxe3 18. Qxe3 Rh4 19. h3 Rah8 20. Kg1 g5 21. fxg5 Bxe4 22. Qf2 f5 23. gxf6+ Kf7 24. Qe3 Bxg2 25. Qg5 R4h7 26. Kxg2 Rg8 27. Qxg8+ Kxg8 28. Ne3 Qc6+ 29. Kg3 Qd6+ 30. Rf4 Rxh3+ 31. Kxh3 Qxf4 32. Ng4 e5 33. Rg1 Kf7 34. Rg2 Qf3+ 35. Kh2 d6 36. Rg3 Qf4 37. c3 bxc3 38. bxc3 Qd2+ 39. Kh3 Qxa2 40. Rf3 Qd2 41. Kh4 e4 42. Re3 Qg2 43. Kg5 Ke6 44. c4 a5 45. Kf4 Qf1+ 46. Kxe4 Qxc4+ 47. Kf3+ Kf5 48. Re5+ Kg6 49. Re7 Qd3+ 50. Kf4 Qf5+ 51. Kg3 Kh5 52. Rg7 a4 53. Rg8 Qd3+,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be2,a6,O-O,Nf6,Kh1,Nxd4,Qxd4,Bc5,Qd3,h5
"Erenska Radzewska, Hanna",Thessaloniki,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. O-O Nf6 8. Kh1 Nxd4 9. Qxd4 Bc5 10. Qd3 h5 11. f4 Ng4 12. e5 d6 13. exd6 Qxd6 14. Qxd6 Bxd6 15. Ne4 Be7 16. h3 Nf6 17. Bf3 Nd5 18. Bd2 Bd7 19. c4 Nb4 20. Rac1 Ba4 21. b3 Bc6 22. f5 exf5 23. Nc3 O-O-O 24. Bxc6 bxc6 25. Rxf5 f6 26. Re1 Rhe8 27. Re2 g6 28. Rf1 Nc2 29. Na4 Nd4 30. Ref2 Nf5 31. Bf4 h4 32. Kg1 Bb4 33. c5 Kb7 34. Bd6 Re4 35. Rxf5 gxf5 36. Rxf5 Re1+ 37. Kf2 Re6 38. Rh5 Be1+ 39. Kf3 Rd7 40. Rh8 Bg3 41. Rg8 a5 42. a3 Rh7 43. Rb8+ Ka7 44. Rd8 Rb7 45. Nb6 Ka6 46. Ra8+ Ra7 47. Rxa7+ Kxa7 48. Bxg3 hxg3 49. Nc4 Ka6 50. a4 Re1 51. Nd2 Rd1 52. Ke3 f5 53. Nf3 Rb1 54. Nd4 Rb2 55. Kf3 f4 56. Ne2 Rxb3+ 57. Kxf4 Rb4+ 58. Kxg3 Rxa4 59. h4 Re4 60. Nc1 Rc4 61. Ne2 a4,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be2,a6,O-O,Nf6,Kh1,Nxd4,Qxd4,Bc5,Qd3,h5
"Polihroniade, Elisabeta",Thessaloniki,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. f4 Nxd4 8. Qxd4 b5 9. Be3 Bb7 10. O-O-O Rc8 11. Rd2 Nf6 12. Bf3 Qa5 13. e5 Bc5 14. Qd3 Bxe3 15. Qxe3 b4 16. Bxb7 bxc3 17. Rd3 Ng4 18. Rxc3 Nxe3 19. Rxc8+ Ke7 20. Rxh8 Qxa2 21. g3 Nc4 22. Kd1 Qb1+ 23. Ke2 Qxc2+ 24. Kf3 Qb3+ 25. Kg4 Ne3+ 26. Kh4 Qxb7 27. Rg1 Qf3,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be2,a6,f4,Nxd4,Qxd4,b5,Be3,Bb7,O-O-O,Rc8
"Nijboer, Friso",Amsterdam,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. O-O Nf6 8. Kh1 Nxd4 9. Qxd4 Bc5 10. Qd3 h5 11. f4 Ng4 12. Nd1 b5 13. a4 b4 14. c4 Bb7 15. a5 O-O-O 16. Be3 Nxe3 17. Nxe3 g5 18. fxg5 Qe5 19. Bf3 Qxg5 20. Nd1 Qe5 21. Nf2 Bd6 22. g3 h4 23. c5 hxg3 24. Qxd6 Rxh2+ 25. Kg1 gxf2+ 26. Rxf2 Rg8+ 27. Bg2 Rh5 28. Rc1 Qh8 29. Rxf7 Rxg2+ 30. Kxg2 Qg8+ 31. Qg3 Bxe4+ 32. Kf2 Qxf7+ 33. Ke3 Bc6,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be2,a6,O-O,Nf6,Kh1,Nxd4,Qxd4,Bc5,Qd3,h5
"Illescas Cordoba, Miguel",Amsterdam,0.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. f4 a6 7. Be2 Nxd4 8. Qxd4 b5 9. Be3 Bb7 10. O-O Rc8 11. Rfd1 Nf6 12. e5 Nd5 13. Nxd5 Bxd5 14. a4 Qb7 15. axb5 axb5 16. Ra7 Qb8 17. Qb6 Qxb6 18. Bxb6 Rb8 19. Be3 g5 20. fxg5 Bg7 21. Bf4 Bf8 22. Be3 Bg7 23. Bd4 h6 24. gxh6 Rxh6 25. Bf3 Bxf3 26. gxf3 Rc8 27. c3 Rg6+ 28. Kf2 Rh6 29. Kg3 Rg6+ 30. Kf2 Rh6 31. Kg2 Rg6+ 32. Kh1 Bf8 33. Rda1 f6 34. exf6 Rg5 35. f4 Rf5 36. Ra8 Rxa8 37. Rxa8+ Kf7 38. Ra7 Rxf4 39. Rxd7+ Kg6 40. Rd8 Kf7 41. Rd7+ Kg6 42. Kg2 Rf5 43. Rb7 e5 44. Be3 Rxf6 45. Rxb5 Kf5 46. Kf3 Rf7 47. Bf4 Bg7 48. Bg3 Rd7 49. Ke2 Ke4 50. Rb4+ Kf5 51. Rb5 Ke4 52. Rc5 Ra7 53. Rc4+ Kd5 54. Rg4 Bf6 55. Rg6 Bd8 56. Rg8 Bf6 57. Rf8 Be7 58. Rf5 Bd6 59. Kd3 Ra1 60. c4+ Ke6 61. Rh5 Rd1+ 62. Kc2 Rf1 63. c5 Bc7 64. b4 Rf7 65. b5,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,f4,a6,Be2,Nxd4,Qxd4,b5,Be3,Bb7,O-O,Rc8
"Reeh, Oliver",Germany,0.5,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. f4 a6 7. Nxc6 bxc6 8. Bd3 d6 9. O-O Nf6 10. Kh1 Be7 11. Qe2 e5 12. fxe5 dxe5 13. Bc4 O-O 14. h3 Ne8 15. Be3 Nd6 16. Bd3 Nb5 17. Na4 Nd4 18. Qf2 c5 19. c3 Ne6 20. Bc4 Bd7 21. b3 Bb5 22. Nb2 Rad8 23. Rad1 Bxc4 24. Nxc4 Qc6 25. Rxd8 Bxd8 26. Qf5 Bc7 27. Rd1 g6 28. Qf3 f5 29. exf5 e4 30. Qg4 Rxf5 31. Nd2 Qd6 32. Bg1 Rf4 33. Nc4 Qc6 34. Qe2 Rf7 35. Ne3 Nf4 36. Qc4 Kg7 37. Nd5 Nh5 38. Bd4+ Kh6 39. Nxc7 Qxc7,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,f4,a6,Nxc6,bxc6,Bd3,d6,O-O,Nf6,Kh1,Be7
"Sion Castro, Marcelino",Salamanca,0.0,Sicilian Defense: Taimanov Variation,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. g3 Nf6 6. Bg2 Qc7 7. Nb5 Qb8 8. Bf4 e5 9. Bg5 a6 10. N5c3 d6 11. Bxf6 gxf6 12. Nd5 Be7 13. Nbc3 f5 14. Nb6 Ra7 15. Bh3 Nd4 16. Ncd5 Be6 17. c3 fxe4 18. cxd4 Bxh3 19. g4 f6 20. Rc1 Kf7 21. Rc7 Re8 22. Rg1,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,g3,Nf6,Bg2,Qc7,Nb5,Qb8,Bf4,e5,Bg5,a6,N5c3,d6
"Kotronias, Vasilios",Corfu,1.0,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. O-O Nf6 8. Kh1 Nxd4 9. Qxd4 Bc5 10. Qd3 h5 11. f4 Ng4 12. b4 Bxb4 13. Bb2 d6 14. Qd4 Bxc3 15. Bxc3 e5 16. fxe5 dxe5 17. Qa4+ Bd7 18. Qa3 Rc8 19. Bb4 Qxc2 20. Qf3 f5 21. Bd3 Qa4 22. Rab1 f4 23. g3 Qxa2 24. Be2 Bb5 25. Qb3 Qxb3 26. Bxb5+ axb5 27. Rxb3 fxg3 28. Rxg3 Rc4 29. Ra3 Rh6 30. Ra8+ Kd7 31. Rf7+ Kc6 32. Bd2 Rd6 33. Bg5 Rd1+ 34. Kg2 Rc2+ 35. Kh3 Rxh2+ 36. Kg3 Rg1+ 37. Kf3 Rf2#,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nc3,Qc7,Be2,a6,O-O,Nf6,Kh1,Nxd4,Qxd4,Bc5,Qd3,h5
