opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Nemet, Ivan",Biel,0.5,"Sicilian Defense: Dragon Variation, Fianchetto Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. g3 Nc6 7. Nde2 Bg7 8. Bg2 Kf8 9. O-O Bd7 10. h3 a5 11. a4 Nb4 12. Nd5 Bc6 13. c3 Na6 14. Bg5 Nc5 15. Qc2,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,g6,g3,Nc6,Nde2,Bg7,Bg2,Kf8,O-O,Bd7,h3,a5
"Zueger, Beat",Biel,0.0,"French Defense: Classical Variation, Steinitz Variation",1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7 7. f4 O-O 8. Nf3 a6 9. Bd3 f6 10. exf6 Nxf6 11. Qd2 b6 12. O-O c5 13. b3 Nc6 14. Ne2 Bb7 15. c3 Rac8 16. Rae1 Qd6 17. Ng3 cxd4 18. cxd4 Rfe8 19. Re2 Nb4 20. Bb1 a5 21. Rfe1 Ba6 22. Re5 Nc6 23. Ng5 Qb4 24. Qxb4 axb4 25. Rxe6 Rxe6 26. Nxe6 Re8 27. f5 Nxd4 28. Rd1 Nxe6 29. fxe6 Rxe6 30. Bf5 Re5 31. Rd4 g6 32. Rxb4 gxf5 33. Rxb6 f4 34. Rxf6 fxg3 35. hxg3 Re1+ 36. Kh2 Bd3 37. Rd6 Be4 38. a4 Ra1 39. g4 Ra3 40. Kg3 Rxb3+ 41. Kf4 Kf7 42. a5 Ke7 43. Rh6 Bg6 44. Ke5 Rb5 45. a6 Ra5 46. Rh1 Be4 47. Rh6 Kd7 48. Rf6 Kc7 49. Kd4 Kb8,e4,e6,d4,d5,Nc3,Nf6,Bg5,Be7,e5,Nfd7,Bxe7,Qxe7,f4,O-O,Nf3,a6,Bd3,f6,exf6,Nxf6
"Huss, Andreas",Biel,0.0,"French Defense: Winawer Variation, Alekhine-Maróczy Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 Ne7 5. a3 Bxc3+ 6. Nxc3 O-O 7. Bg5 f6 8. Be3 Nbc6 9. Bb5 a6 10. Bxc6 Nxc6 11. Qf3 dxe4 12. Qxe4 f5 13. Qf4 Ne7 14. Qf3 f4 15. Bxf4 Ng6 16. g3 Nxf4 17. gxf4 Qxd4 18. Rd1 Qxf4 19. Qxf4 Rxf4 20. O-O b6 21. Rd8+ Rf8 22. Rfd1 Bb7 23. R8d7 Rac8 24. Re7 Rfe8 25. Rdd7 Rxe7 26. Rxe7 Kf8 27. Rxe6 Kf7 28. Re2 Rd8 29. f3 Rd4 30. Ne4 Bxe4 31. fxe4 Ke6 32. Kf2 Ke5 33. Kf3 g6 34. c3 Rd1 35. Kg4 Rg1+ 36. Kf3 Rf1+ 37. Kg3 Rf7 38. Re3 h5 39. h4 Rf4 40. Rd3 Rg4+ 41. Kf3 Rxh4 42. Rd7 Rf4+ 43. Kg3 h4+ 44. Kh3 g5 45. Rxc7 Rf3+ 46. Kg2 g4 47. Rg7 h3+ 48. Kh2 Rf2+ 49. Kh1 Kf4 50. Rd7 g3 51. Rd1 g2+ 52. Kg1 Kf3,e4,e6,d4,d5,Nc3,Bb4,Ne2,Ne7,a3,Bxc3+,Nxc3,O-O,Bg5,f6,Be3,Nbc6,Bb5,a6,Bxc6,Nxc6
"Landenbergue, Claude",Biel,0.5,"Alekhine Defense: Modern Variation, Flohr Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6 6. c4 Nb6 7. Nbd2 N8d7 8. O-O dxe5 9. Nxe5 Bxe2 10. Qxe2 e6 11. Ndf3 Nxe5,e4,Nf6,e5,Nd5,d4,d6,Nf3,Bg4,Be2,c6,c4,Nb6,Nbd2,N8d7,O-O,dxe5,Nxe5,Bxe2,Qxe2,e6
"Gobet, Fernand",Biel,0.0,"Sicilian Defense: Taimanov Variation, Szén Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nb5 d6 6. Bf4 e5 7. Be3 a6 8. N5c3 Nf6 9. Na3 Be7 10. Nd5 Nxd5 11. exd5 Nb8 12. c4 Nd7 13. Bd3 O-O 14. O-O f5 15. f4 exf4 16. Bxf4 Qb6+ 17. Kh1 Qxb2 18. Nc2 Nc5 19. Re1 Qf6 20. Be3 Bd7 21. Bd4 Qf7 22. Bxc5 dxc5 23. Rb1 b5 24. cxb5 axb5 25. Bxb5 Bxb5 26. Rxb5 Bd6 27. Ne3 Rxa2 28. Rb6 f4 29. Ng4 Qg6 30. Qf3 Re8 31. Rf1 h5 32. Nf2 Re3 33. Qd1 Ree2 34. Kg1 f3 35. g3 h4,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nb5,d6,Bf4,e5,Be3,a6,N5c3,Nf6,Na3,Be7,Nd5,Nxd5
"Costa, Jean Luc",Biel,1.0,"King's Gambit Accepted: Bishop's Gambit, Steinitz Defense",1. e4 e5 2. f4 exf4 3. Bc4 Ne7 4. Nf3 d5 5. exd5 Nxd5 6. O-O Be6 7. Bxd5 Bxd5 8. d4 Nc6 9. Bxf4 Bxf3 10. Qxf3 Qxd4+ 11. Be3 Qd7 12. Nc3 Bd6 13. Rad1 O-O 14. Ne4 Ne5 15. Qg3 Qg4 16. Nxd6 Qxg3 17. hxg3 cxd6 18. b3 Rfd8 19. Rd5 f6 20. Rfd1 Nf7 21. c4 Kf8 22. a4 Ke7 23. Bc1 Kd7 24. Ba3 Kc6 25. c5 dxc5 26. Rxc5+ Kb6 27. Rdc1 Rd7 28. Bb4 a6 29. Be1 Rad8 30. Ba5+ Ka7 31. Bxd8 Rxd8 32. Rc7 Ng5 33. Rxg7 Rd3 34. b4 Rd4 35. Rb1 Rg4 36. Re7 Ne4 37. b5 axb5 38. axb5 Nc3 39. Rb3 Nd5 40. Re6 h5 41. Ra3+ Kb8 42. b6 Rg8 43. Rd3 Nb4 44. Rd7 h4 45. gxh4 Nd3 46. Rxd3 Rxg2+ 47. Kxg2,e4,e5,f4,exf4,Bc4,Ne7,Nf3,d5,exd5,Nxd5,O-O,Be6,Bxd5,Bxd5,d4,Nc6,Bxf4,Bxf3,Qxf3,Qxd4+
"Sharif, Mershad",Brussels,1.0,King's Gambit Declined: Classical Variation,1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 Nf6 5. d4 Bb6 6. fxe5 dxe5 7. Nxe5 O-O 8. Bg5 c5 9. dxc5 Qxd1+ 10. Kxd1 Bxc5 11. Bxf6 gxf6 12. Nf3 f5 13. Bd3 fxe4 14. Bxe4 Nd7 15. Bf5 Nf6 16. Bxc8 Raxc8 17. Nbd2 Ng4 18. Kc2 Rfe8 19. g3 Re2 20. Rae1 Rg2 21. Kb1 Rc6 22. Ne4 Rb6 23. b4 Be7 24. h3 Nf2 25. Nxf2 Rxf2 26. Rhf1 Rxf1 27. Rxf1 a5 28. a3 axb4 29. axb4 Rh6 30. h4 Rg6 31. Nd4 Bf8 32. Nf5 Re6 33. Kc2 f6 34. Kd3 Kf7 35. g4 Kg6 36. Nd4 Ra6 37. Rf5 Bd6 38. h5+ Kf7 39. Rb5 Ra7 40. Rd5 Be7 41. Rd7 Ke8 42. Rc7 Kd8 43. Ne6+,e4,e5,f4,Bc5,Nf3,d6,c3,Nf6,d4,Bb6,fxe5,dxe5,Nxe5,O-O,Bg5,c5,dxc5,Qxd1+,Kxd1,Bxc5
"Gutman, Lev",Brussels,1.0,"Sicilian Defense: Scheveningen Variation, Classical Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 Be7 7. O-O O-O 8. f4 a6 9. Be3 Qc7 10. a4 Nc6 11. Qe1 Nd7 12. Qg3 Bf6 13. Rad1 Rb8 14. Nxc6 bxc6 15. e5 dxe5 16. Ne4 Be7 17. f5 exf5 18. Bh6 g6 19. Rxf5 Rb4 20. Bd3 f6 21. Rdf1 Rxe4 22. Bxf8 Kxf8 23. Bxe4 gxf5 24. Bxf5 Nb6 25. Bxh7 Be6 26. Be4 Nd5 27. Qh4 Nf4 28. Qh8+ Bg8 29. Rd1 Ne6 30. Kh1 Bd8 31. Bf5 Nd4 32. Bh3 Qf7 33. c3 Qb3 34. Qh6+ Ke7 35. Rf1 Ne6 36. Qxf6+ Kd6 37. Bxe6,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,e6,Be2,Be7,O-O,O-O,f4,a6,Be3,Qc7,a4,Nc6
"Fedorowicz, John P",Brussels,0.5,"Sicilian Defense: Taimanov Variation, Szén Variation",1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nb5 d6 6. Bf4 e5 7. Be3 a6 8. N5c3 Nf6 9. Na3 b5 10. Nd5 Rb8 11. Nxf6+ Qxf6 12. c4 b4 13. Nb1 Qg6 14. Nd2 Be7 15. h4 O-O 16. g3 f5 17. exf5 Bxf5 18. Bg2 Nd4 19. Bxd4 exd4 20. O-O Bxh4 21. Nf3 Bf6 22. Nxd4 Bd3 23. Ne6 Bxb2 24. Qd2 Bc3 25. Nxf8 Rxf8 26. Bd5+ Kh8 27. Qe3 Bxa1 28. Rxa1 a5 29. Rd1 Bc2 30. Rc1 a4 31. Qe7 Re8 32. Qd7 Rf8 33. Qe7 Re8 34. Qd7,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nc6,Nb5,d6,Bf4,e5,Be3,a6,N5c3,Nf6,Na3,b5,Nd5,Rb8
"Kerkhof, Philippe",Brussels,1.0,"Pirc Defense: Austrian Attack, Dragon Formation",1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 c5 6. d5 O-O 7. Bc4 b5 8. Nxb5 Nxe4 9. O-O Nd7 10. Bd3 Nef6 11. c4 Nb6 12. a4 a6 13. Nc3 Rb8 14. Qc2 e6 15. a5 Na8 16. dxe6 fxe6 17. b3 Nc7 18. Bb2 Ng4 19. Rae1 Rxf4 20. h3 Ne5 21. Nxe5 Bxe5 22. Rxf4 Bxf4 23. Bxg6 Qh4 24. Rf1 Be3+ 25. Kh1 Bb7 26. Bf7+ Kg7 27. Nd5+ e5 28. Qf5 Nxd5 29. cxd5 Bc8 30. Bxe5+ dxe5 31. Qxe5+,e4,d6,d4,Nf6,Nc3,g6,f4,Bg7,Nf3,c5,d5,O-O,Bc4,b5,Nxb5,Nxe4,O-O,Nd7,Bd3,Nef6
