opponent,location,result,opening,moves,white_move_1,black_move_1,white_move_2,black_move_2,white_move_3,black_move_3,white_move_4,black_move_4,white_move_5,black_move_5,white_move_6,black_move_6,white_move_7,black_move_7,white_move_8,black_move_8,white_move_9,black_move_9,white_move_10,black_move_10
"Polugaevsky, Lev",Aruba,1.0,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 e6 7. Bd3 b5 8. Qf3 Bb7 9. g4 Nc6 10. Nxc6 Bxc6 11. a3 Be7 12. Be3 Nd7 13. O-O-O Qc7 14. h4 Qb7 15. Bd4 O-O 16. g5 Rfe8 17. h5 b4 18. axb4 Qxb4 19. Ne2 Nc5 20. g6 fxg6 21. hxg6 h6 22. Rdg1 Rac8 23. Kb1 Nxd3 24. cxd3 Qb3 25. Bc3 e5 26. Nc1 Qe6 27. Qe3 Bf8 28. f5 Qf6 29. Be1 d5 30. Bh4 Qd6 31. f6 Re6 32. f7+ Kh8 33. Qg3 Ba4 34. Bf6 Rxc1+ 35. Rxc1 Rxf6 36. Rcg1 Rf1+ 37. Rxf1 dxe4 38. Rfg1 Qxd3+ 39. Qxd3 exd3 40. Re1 Bc2+ 41. Kc1,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,e6,Bd3,b5,Qf3,Bb7,g4,Nc6,Nxc6,Bxc6
"Polugaevsky, Lev",Aruba,0.5,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 e6 7. Be2 Be7 8. O-O O-O 9. Be3 Qc7 10. g4 Re8 11. g5 Nfd7 12. Bh5 g6 13. Bg4 Bf8 14. a4 Nc6 15. Qe2 Nxd4 16. Bxd4 b6 17. Qf2 Bb7 18. Rae1 Re7 19. h4 Rae8 20. Bh3 e5 21. fxe5 Nxe5 22. Bxb6 Qc4 23. Rd1 Bg7 24. Rxd6 Bxe4 25. Nxe4 Qxe4 26. b3 Ng4 27. Qd2 h5 28. gxh6 Bxh6 29. Qd3 Ne3 30. Qxe4 Rxe4 31. Bxe3 Bxe3+ 32. Kg2 Bc5 33. Rc6 Re2+ 34. Kh1 Rxc2 35. b4 Re3 36. Bf5 gxf5 37. Rxc5 Rh3+ 38. Kg1 Rg3+ 39. Kh1 Rh3+ 40. Kg1 Rxc5 41. bxc5 Rxh4 42. Rc1 Kg7 43. c6 Rh8 44. c7 Rc8,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,e6,Be2,Be7,O-O,O-O,Be3,Qc7,g4,Re8
"Polugaevsky, Lev",Aruba,0.5,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 e6 7. Bd3 b5 8. Qf3 Bb7 9. g4 Nfd7 10. Be3 Nc5 11. O-O-O b4 12. Nce2 Nbd7 13. Kb1 Qc7 14. g5 g6 15. h4 Bg7 16. h5 Rg8 17. Ng3 O-O-O 18. Rhe1 Kb8 19. Qf2 e5 20. Nb3 exf4 21. Bxf4 Be5 22. Bc4 Bxf4 23. Qxf4 Ne5 24. Bd5 Rc8 25. Re2 a5 26. Nd4 Ba6 27. Red2 Na4 28. Nf1 Rgd8 29. Ne3 Nxb2 30. Kxb2 Qc3+ 31. Kb1 a4 32. Ne2 Bxe2 33. Rxe2 a3 34. Kc1 Qb2+ 35. Kd2 Qc3+ 36. Kc1 Qb2+,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,e6,Bd3,b5,Qf3,Bb7,g4,Nfd7,Be3,Nc5
"Polugaevsky, Lev",Aruba,0.0,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 e6 7. Bd3 b5 8. Qf3 Bb7 9. g4 Nfd7 10. Be3 Nc5 11. O-O-O Nbd7 12. h4 Qc7 13. Kb1 b4 14. Nce2 g6 15. h5 Bg7 16. h6 Bf6 17. g5 Be7 18. Ng3 O-O 19. Rhe1 a5 20. Bb5 Rac8 21. Rc1 d5 22. exd5 Bxd5 23. Qg4 Rfd8 24. Be2 Nb6 25. c4 bxc3 26. Rxc3 Qb7 27. Rc2 Ne4 28. Rxc8 Rxc8 29. Nxe4 Bxe4+ 30. Ka1 Nd5 31. Bf2 Nb4 32. a3 Nc2+ 33. Nxc2 Rxc2 34. Bd4 Bxa3 35. Rb1 Qb3,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,e6,Bd3,b5,Qf3,Bb7,g4,Nfd7,Be3,Nc5
"Dautov, Rustem",Brno,0.0,"Ruy Lopez: Berlin Defense, l'Hermet Variation, Berlin Wall Defense",1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Nd6 6. Bxc6 dxc6 7. dxe5 Nf5 8. Qxd8+ Kxd8 9. b3 a5 10. Nc3 Ke8 11. h3 Bb4 12. Bb2 Bxc3 13. Bxc3 c5 14. Rad1 h6 15. Nd2 h5 16. Ne4 b6 17. Ng5 Ke7 18. Rd2 h4 19. Rfd1 Rh5 20. Ne4 Bb7 21. Rd7+ Ke6 22. Nxc5+ bxc5 23. Rxc7 Rb8 24. f3 Rg5 25. Rd3 Nd4 26. Bxd4 cxd4 27. Rxd4 Bxf3 28. Rd6+ Kxe5 29. Rd2 f5 30. Rc5+ Ke6 31. Rxa5 Ra8 32. Rc5 Rxa2 33. b4 Be4 34. b5 Ra1+ 35. Kh2 Rg3,e4,e5,Nf3,Nc6,Bb5,Nf6,O-O,Nxe4,d4,Nd6,Bxc6,dxc6,dxe5,Nf5,Qxd8+,Kxd8,b3,a5,Nc3,Ke8
"Gelfand, Boris",Munich,0.5,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 Nbd7 7. Be2 e5 8. fxe5 Nxe5 9. Bg5 Be7 10. Qd2 O-O 11. O-O Be6 12. Nf5 Bxf5 13. Rxf5 Rc8 14. Kh1 Qb6 15. Rb1 Ned7 16. Bd3 Rfe8 17. Be3 Qd8 18. Rbf1 Ne5 19. Bd4 g6 20. R5f4 Nfd7 21. Qe2 Bg5 22. R4f2 Nc6 23. Bc4 Nxd4 24. Bxf7+ Kh8 25. Qd3 Nc6 26. Bxe8 Qxe8 27. Qxd6 Qe7 28. Qd3 Nde5 29. Qh3 Re8 30. Nd5 Qd6 31. Qc3 Bh6 32. Rf7 Rf8 33. Rxf8+ Bxf8 34. Rf6 Qb8 35. Re6 Bg7 36. Qc5 h5 37. Nf4 Qd8 38. Nxg6+ Kh7 39. Nxe5 Nxe5 40. h3 Qd1+ 41. Qg1 Qd7 42. Rb6 Nf3 43. Qf1 Qc7 44. Qxf3 Qxb6 45. Qxh5+ Kg8 46. Qd5+ Kf8 47. b3 Qf6 48. Kg1 Qb6+ 49. Kf1 Ke7 50. Ke2 Qc7 51. c4 b6,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,Nbd7,Be2,e5,fxe5,Nxe5,Bg5,Be7,Qd2,O-O
"Pliester, Leon",Aruba,1.0,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 Nbd7 7. Be2 e5 8. fxe5 Nxe5 9. Bg5 Be7 10. Qd2 O-O 11. O-O h6 12. Be3 Be6 13. Kh1 Rc8 14. Nf5 Bxf5 15. Rxf5 Re8 16. Raf1 Nh7 17. Qd5 Rc6 18. Qb3 b5 19. Nd5 Qa8 20. Rxf7 Nxf7 21. Rxf7 Kxf7 22. Nb6+ Kg6 23. Bh5+ Kxh5 24. Qf7+,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,Nbd7,Be2,e5,fxe5,Nxe5,Bg5,Be7,Qd2,O-O
"Smyslov, Vassily",Aruba,0.5,"Caro-Kann Defense: Panov Attack, Main Line",1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. Nf3 Bb4 7. cxd5 Nxd5 8. Qb3 Nc6 9. Bd3 Qb6 10. Bd2 Ba5 11. O-O Qxb3 12. axb3 Bb6 13. Bc4 Nde7 14. Na4 Bc7 15. b4 a6 16. Nc3 O-O 17. b5 Na5 18. Ba2 axb5 19. Nxb5 Bb6 20. Ne5 Nac6 21. Bc3,e4,c6,d4,d5,exd5,cxd5,c4,Nf6,Nc3,e6,Nf3,Bb4,cxd5,Nxd5,Qb3,Nc6,Bd3,Qb6,Bd2,Ba5
"Groszpeter, Attila",Budapest,1.0,"Caro-Kann Defense: Panov Attack, Main Line",1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. Nf3 Bb4 7. cxd5 Nxd5 8. Qb3 Nc6 9. Bd3 O-O 10. O-O Be7 11. a3 Nxc3 12. bxc3 b6 13. Qc2 g6 14. Bh6 Re8 15. h4 Bf8 16. Qd2 Bb7 17. Rae1 Rc8 18. h5 Bxh6 19. Qxh6 Qf6 20. hxg6 hxg6 21. Ng5 Qg7 22. Qh4 Ne7 23. Be4 Nf5 24. Qf4 Ba6 25. Bxf5 exf5 26. Rxe8+ Rxe8 27. Rd1 f6 28. Nf3 Qd7 29. Nh4 Re4 30. Qg3 Rg4 31. Qh3 Qh7 32. g3 g5 33. Re1 gxh4 34. Re8+ Kf7 35. Ra8 Kg6,e4,c6,d4,d5,exd5,cxd5,c4,Nf6,Nc3,e6,Nf3,Bb4,cxd5,Nxd5,Qb3,Nc6,Bd3,O-O,O-O,Be7
"Gurevich, Ilya",Hastings,1.0,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4 Nbd7 7. Be2 e5 8. fxe5 Nxe5 9. Bg5 Be7 10. Qd2 h6 11. Bf4 Be6 12. Nf5 Bxf5 13. exf5 Rc8 14. O-O-O Qa5 15. Kb1 Qc5 16. Rhe1 O-O 17. Bf1 Rfe8 18. h3 b5 19. Qd4 Bf8 20. Qxc5 Rxc5 21. Ne4 Nxe4 22. Rxe4 f6 23. c3 Kf7 24. Be2 Rb8 25. Be3 Rcc8 26. Rd5 Nc4 27. Bf4 Ne5 28. Kc2 Rc6 29. Be3 Be7 30. Rb4 Rc7 31. a4 Nc6 32. Rg4 bxa4 33. Rc4 Kf8 34. Bf4 Rb4 35. Kb1 Rxc4 36. Bxc4 Ne5 37. Bxa6 a3 38. bxa3 Ra7 39. Ra5 Nc4 40. Ra4 d5 41. Ka2 Nxa3 42. Kb3 Nb1 43. Be3 Ra8 44. Bc1 Bd6 45. Kc2 Rb8 46. Ra2 Rb6 47. Bb2 Na3+ 48. Rxa3 Bxa3 49. Bxa3+ Ke8 50. Be2,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,f4,Nbd7,Be2,e5,fxe5,Nxe5,Bg5,Be7,Qd2,h6
